These are your personal leaderboard statistics. Rank is your position on 
that leaderboard: 1 means you were the first person to get that star, 2 
means the second, 100 means the 100th, etc. Score is the number of 
points you got for that rank: 100 for 1st, 99 for 2nd, ..., 1 for 100th, 
and 0 otherwise.

      --------Part 1---------   --------Part 2---------
Day       Time    Rank  Score       Time    Rank  Score
 25   00:14:04     440      0   00:14:19     382      0
 24   07:37:39    5280      0   07:58:33    5079      0
 23   00:54:54    1365      0   01:09:05    1592      0
 22   00:36:56     596      0   01:36:30     285      0
 21   00:16:29    1663      0   00:37:45     912      0
 20   01:01:26    1654      0   01:04:59    1274      0
 19   02:35:36    1628      0   02:44:39    1195      0
 18   00:07:06     824      0   00:38:03    1276      0
 17   00:56:31    1237      0   01:30:06     774      0
 16   00:48:03     468      0   02:27:53     731      0
 15   00:54:50    3677      0   01:13:52    1755      0
 14   00:42:35    3097      0   01:05:52    3843      0
 13   00:31:23    2034      0   00:42:04    2010      0
 12   00:24:44    1523      0   00:28:32    1387      0
 11   00:35:40    2617      0   00:40:51    1321      0
 10   00:07:48     488      0   00:17:24     460      0
  9   00:20:56    2160      0   00:34:43    1783      0
  8   00:32:22    6036      0   00:50:49    5187      0
  7   00:39:10    3305      0   00:44:34    2787      0
  6   00:07:44    4405      0   00:13:49    6866      0
  5   00:25:12    4227      0   00:31:54    4611      0
  4   00:20:13    9061      0   00:26:33    8709      0
  3   00:12:15    3891      0   00:26:24    5644      0
  2   00:09:40    2712      0   00:17:50    3665      0
  1   17:34:31  113925      0   17:36:03  108688      0

